project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-10,subproject-18,rca-78,program-35,1527,1440.63,1379.56,1567.16,1734.76,1492.76,project-10-subproject-18-rca-78program-35
project-4,subproject-29,rca-44,program-15,11844,11663.97,10039.83,12985.03,9299.18,7713.76,project-4-subproject-29-rca-44program-15
project-5,subproject-38,rca-2,program-63,1435,1130.54,1017.4,618.31,399.15,335.28,project-5-subproject-38-rca-2program-63
project-8,subproject-28,rca-73,program-49,2513,1840.78,1784.64,1685.65,1141.42,928.0,project-8-subproject-28-rca-73program-49
project-9,subproject-1,rca-32,program-57,13856,13773.28,14139.78,14606.94,12784.56,11164.11,project-9-subproject-1-rca-32program-57
project-12,subproject-17,rca-17,program-51,2111,2072.79,2067.28,2465.41,2557.61,2375.29,project-12-subproject-17-rca-17program-51
project-15,subproject-8,rca-74,program-91,17451,20624.09,19066.11,14793.42,11355.53,9611.71,project-15-subproject-8-rca-74program-91
project-6,subproject-6,rca-1,program-105,3552,2496.36,2025.64,2048.21,1847.19,1613.01,project-6-subproject-6-rca-1program-105
project-8,subproject-20,rca-32,program-6,12774,12874.26,10655.12,11988.39,14357.96,14312.55,project-8-subproject-20-rca-32program-6
project-1,subproject-30,rca-40,program-91,28473,25583.15,25005.8,27878.11,18797.06,18728.59,project-1-subproject-30-rca-40program-91
project-10,subproject-10,rca-61,program-4,3005,3017.55,3192.69,3690.19,3122.97,2912.3,project-10-subproject-10-rca-61program-4
project-18,subproject-13,rca-54,program-68,20969,13743.87,15099.08,17497.83,18258.46,16273.21,project-18-subproject-13-rca-54program-68
project-14,subproject-18,rca-30,program-69,21564,25021.54,26683.11,22051.14,17983.02,17454.6,project-14-subproject-18-rca-30program-69
project-9,subproject-8,rca-17,program-34,17568,18885.4,21553.06,15036.97,13993.71,11974.34,project-9-subproject-8-rca-17program-34
project-11,subproject-1,rca-46,program-32,10931,8365.62,9532.06,9139.82,7967.68,6970.61,project-11-subproject-1-rca-46program-32
project-15,subproject-10,rca-47,program-89,20224,21106.16,23598.45,30462.45,35869.16,35466.99,project-15-subproject-10-rca-47program-89
project-4,subproject-25,rca-58,program-106,15308,13969.08,14527.98,10612.1,7930.64,6955.45,project-4-subproject-25-rca-58program-106
project-11,subproject-14,rca-19,program-110,28406,34415.37,39292.98,28178.3,29804.5,29146.0,project-11-subproject-14-rca-19program-110
project-20,subproject-38,rca-42,program-71,25392,16022.52,16720.04,21446.14,15060.66,12976.31,project-20-subproject-38-rca-42program-71
project-8,subproject-38,rca-26,program-27,16670,11142.98,9110.13,11275.15,11103.69,10944.5,project-8-subproject-38-rca-26program-27
project-4,subproject-31,rca-55,program-71,20279,23449.13,27825.96,35389.05,27613.84,26188.4,project-4-subproject-31-rca-55program-71
project-20,subproject-3,rca-47,program-58,13778,12330.15,14045.9,17320.39,20236.14,16909.03,project-20-subproject-3-rca-47program-58
project-6,subproject-3,rca-48,program-96,18203,10201.11,9573.52,8712.05,5865.13,5751.75,project-6-subproject-3-rca-48program-96
project-2,subproject-26,rca-36,program-98,20727,24050.32,26941.48,16871.06,17364.04,16745.88,project-2-subproject-26-rca-36program-98
project-5,subproject-8,rca-30,program-19,1110,992.41,1009.44,847.81,561.89,521.92,project-5-subproject-8-rca-30program-19
project-18,subproject-21,rca-6,program-86,25916,16600.82,14377.14,17621.12,11590.25,9819.08,project-18-subproject-21-rca-6program-86
project-10,subproject-14,rca-60,program-119,16664,19871.96,19974.21,14580.62,9201.51,8457.54,project-10-subproject-14-rca-60program-119
project-7,subproject-15,rca-76,program-101,10497,11540.35,12248.84,8191.21,5367.17,4927.2,project-7-subproject-15-rca-76program-101
project-12,subproject-13,rca-32,program-59,1574,1466.34,1212.53,1031.55,1128.11,1093.15,project-12-subproject-13-rca-32program-59
project-16,subproject-14,rca-43,program-19,7335,4615.29,5218.87,3185.2,2191.34,2039.47,project-16-subproject-14-rca-43program-19
project-20,subproject-2,rca-1,program-13,20392,23986.59,27023.55,20592.98,19680.14,18660.49,project-20-subproject-2-rca-1program-13
project-16,subproject-37,rca-33,program-4,24954,22578.14,21916.8,17705.23,13033.25,12807.82,project-16-subproject-37-rca-33program-4
project-16,subproject-1,rca-33,program-36,6020,5983.68,6471.65,6505.58,5148.93,4922.98,project-16-subproject-1-rca-33program-36
project-8,subproject-27,rca-36,program-22,27850,27621.75,29661.99,22422.31,26035.13,22076.84,project-8-subproject-27-rca-36program-22
project-9,subproject-13,rca-56,program-118,22447,26736.99,31143.78,35202.87,35027.94,32147.43,project-9-subproject-13-rca-56program-118
project-3,subproject-30,rca-53,program-67,13071,7001.49,5745.75,5423.51,6009.23,5597.94,project-3-subproject-30-rca-53program-67
project-6,subproject-29,rca-50,program-33,2207,1977.51,1759.13,2152.24,2103.68,2060.63,project-6-subproject-29-rca-50program-33
project-13,subproject-25,rca-40,program-93,24606,26389.84,25588.81,20817.4,23016.35,19498.13,project-13-subproject-25-rca-40program-93
project-10,subproject-31,rca-17,program-87,3205,2527.7,2254.41,2135.3,1789.59,1589.29,project-10-subproject-31-rca-17program-87
project-2,subproject-25,rca-15,program-58,25732,20462.82,17599.31,11703.19,8123.23,6866.75,project-2-subproject-25-rca-15program-58
project-13,subproject-18,rca-72,program-19,1961,2055.97,1670.87,1934.65,1571.95,1293.93,project-13-subproject-18-rca-72program-19
project-5,subproject-26,rca-67,program-3,28634,36883.72,43194.18,30874.14,31679.62,26992.91,project-5-subproject-26-rca-67program-3
project-14,subproject-11,rca-46,program-19,13764,16401.0,16789.57,14883.17,12119.11,11594.17,project-14-subproject-11-rca-46program-19
project-6,subproject-27,rca-27,program-3,11110,9449.44,9891.72,7802.69,5927.44,5924.63,project-6-subproject-27-rca-27program-3
project-18,subproject-34,rca-31,program-106,4999,3516.14,2931.98,2001.46,2337.57,2259.39,project-18-subproject-34-rca-31program-106
project-14,subproject-6,rca-51,program-24,2997,1872.2,1789.64,2032.48,1811.3,1557.91,project-14-subproject-6-rca-51program-24
project-8,subproject-27,rca-57,program-32,6241,5314.49,5223.66,4228.98,3709.33,3592.17,project-8-subproject-27-rca-57program-32
project-7,subproject-14,rca-44,program-61,21071,22000.11,21892.48,16572.04,15252.75,14781.21,project-7-subproject-14-rca-44program-61
project-14,subproject-2,rca-26,program-49,19697,12611.53,14553.61,16620.73,15127.6,14701.75,project-14-subproject-2-rca-26program-49
project-10,subproject-29,rca-39,program-96,6560,7574.12,6125.43,5594.61,3565.22,3554.52,project-10-subproject-29-rca-39program-96
project-15,subproject-18,rca-68,program-70,17349,13518.71,11095.97,8268.01,9220.7,7891.5,project-15-subproject-18-rca-68program-70
project-4,subproject-29,rca-46,program-44,16653,10052.81,10899.15,9610.44,6626.22,5818.63,project-4-subproject-29-rca-46program-44
project-1,subproject-2,rca-72,program-101,21471,25970.51,28815.93,20824.79,19597.99,19392.82,project-1-subproject-2-rca-72program-101
project-4,subproject-24,rca-80,program-58,15855,17690.87,18787.01,14246.55,12601.3,10875.5,project-4-subproject-24-rca-80program-58
project-14,subproject-13,rca-22,program-95,15510,9849.95,7947.84,9991.47,8011.92,7544.34,project-14-subproject-13-rca-22program-95
project-5,subproject-29,rca-56,program-11,6735,8655.99,7102.48,7095.5,5508.3,4882.38,project-5-subproject-29-rca-56program-11
project-10,subproject-33,rca-79,program-47,28587,29356.64,27352.09,35410.4,33843.46,27682.58,project-10-subproject-33-rca-79program-47
project-5,subproject-19,rca-60,program-115,15181,14026.75,15473.14,19330.93,15222.08,13062.5,project-5-subproject-19-rca-60program-115
project-5,subproject-35,rca-38,program-23,11503,14348.43,16230.94,17475.61,15249.32,13454.5,project-5-subproject-35-rca-38program-23
project-5,subproject-11,rca-55,program-120,22839,11736.76,13144.99,16786.23,11997.61,10904.11,project-5-subproject-11-rca-55program-120
project-14,subproject-20,rca-71,program-71,12238,12051.11,10527.16,10578.72,10103.88,9107.12,project-14-subproject-20-rca-71program-71
project-4,subproject-20,rca-49,program-88,13468,16652.98,13766.13,16215.32,11517.14,9898.86,project-4-subproject-20-rca-49program-88
project-18,subproject-1,rca-53,program-73,23279,12268.15,12150.98,13710.05,10942.18,9377.12,project-18-subproject-1-rca-53program-73
project-1,subproject-4,rca-9,program-81,29741,25908.77,24126.41,14533.26,9260.92,8578.17,project-1-subproject-4-rca-9program-81
project-12,subproject-12,rca-7,program-109,13229,11651.24,11016.77,11489.58,9877.61,9560.88,project-12-subproject-12-rca-7program-109
project-11,subproject-5,rca-65,program-98,14754,13642.5,11610.74,7781.64,7981.59,7681.64,project-11-subproject-5-rca-65program-98
project-18,subproject-19,rca-69,program-112,7904,5682.18,6251.16,6085.63,6466.31,5447.47,project-18-subproject-19-rca-69program-112
project-3,subproject-6,rca-57,program-108,7270,8441.62,8049.77,8651.38,5375.37,5287.36,project-3-subproject-6-rca-57program-108
project-9,subproject-38,rca-35,program-49,11865,10303.54,10567.63,8340.06,6595.46,6275.36,project-9-subproject-38-rca-35program-49
project-19,subproject-26,rca-30,program-43,8438,9350.38,9386.55,10119.75,9854.06,8492.7,project-19-subproject-26-rca-30program-43
project-14,subproject-14,rca-72,program-14,5168,3714.43,3161.19,3952.76,2594.52,2272.48,project-14-subproject-14-rca-72program-14
project-20,subproject-32,rca-75,program-27,27521,29431.72,23954.3,15136.16,11970.99,9808.53,project-20-subproject-32-rca-75program-27
project-8,subproject-28,rca-11,program-1,1926,2325.18,2334.11,1975.91,1800.68,1536.3,project-8-subproject-28-rca-11program-1
project-1,subproject-21,rca-57,program-26,8478,8704.02,7055.0,6557.95,6483.87,5655.63,project-1-subproject-21-rca-57program-26
project-20,subproject-30,rca-15,program-41,14230,7947.99,7564.47,6562.98,5256.36,4594.26,project-20-subproject-30-rca-15program-41
project-3,subproject-31,rca-65,program-118,26965,28365.28,26884.71,21676.32,16457.26,15154.67,project-3-subproject-31-rca-65program-118
project-18,subproject-14,rca-6,program-43,2833,2192.34,2158.55,1531.15,1220.04,977.99,project-18-subproject-14-rca-6program-43
project-2,subproject-16,rca-5,program-32,18371,22563.85,19026.99,24479.0,16160.02,13584.46,project-2-subproject-16-rca-5program-32
project-11,subproject-22,rca-70,program-36,6753,7206.27,5915.4,3644.42,3279.81,2709.51,project-11-subproject-22-rca-70program-36
project-20,subproject-39,rca-62,program-18,18359,10798.88,9615.31,7799.14,8984.51,8082.38,project-20-subproject-39-rca-62program-18
project-3,subproject-19,rca-1,program-67,2061,1074.72,917.63,1058.0,955.33,940.41,project-3-subproject-19-rca-1program-67
project-14,subproject-1,rca-11,program-31,29174,23250.99,25743.83,33041.28,30301.01,26836.92,project-14-subproject-1-rca-11program-31
project-13,subproject-8,rca-36,program-36,26842,19905.46,20912.55,25353.04,28111.57,26581.38,project-13-subproject-8-rca-36program-36
project-15,subproject-19,rca-75,program-34,28223,16480.1,14473.33,15086.66,12854.35,10671.52,project-15-subproject-19-rca-75program-34
project-10,subproject-25,rca-37,program-21,6079,4058.25,3463.02,2981.04,3370.36,2910.45,project-10-subproject-25-rca-37program-21
project-5,subproject-18,rca-29,program-60,5703,7201.21,6956.67,4928.85,5522.35,4804.91,project-5-subproject-18-rca-29program-60
project-19,subproject-29,rca-2,program-75,19827,19064.3,18759.53,14950.92,16582.47,15502.45,project-19-subproject-29-rca-2program-75
project-1,subproject-7,rca-70,program-5,22610,20616.51,23001.17,23596.73,24030.99,22904.64,project-1-subproject-7-rca-70program-5
project-6,subproject-9,rca-68,program-93,29069,20812.14,22699.01,18730.61,14971.53,14086.08,project-6-subproject-9-rca-68program-93
project-4,subproject-13,rca-60,program-24,8564,7496.12,8247.61,7800.95,5927.97,5127.42,project-4-subproject-13-rca-60program-24
project-8,subproject-33,rca-31,program-40,13412,10806.46,11864.85,8945.09,6916.34,5656.03,project-8-subproject-33-rca-31program-40
project-1,subproject-26,rca-5,program-73,5065,5324.22,5535.72,5861.72,4276.35,4254.76,project-1-subproject-26-rca-5program-73
project-19,subproject-22,rca-70,program-113,14557,8939.25,9241.74,7445.29,6910.67,5665.6,project-19-subproject-22-rca-70program-113
project-4,subproject-20,rca-32,program-66,25848,16819.4,13876.26,17328.52,14632.97,12382.5,project-4-subproject-20-rca-32program-66
project-18,subproject-14,rca-47,program-109,19391,9939.54,7966.91,8113.71,4943.43,4612.7,project-18-subproject-14-rca-47program-109
project-7,subproject-16,rca-69,program-17,10015,6978.29,6310.97,7595.51,5355.0,4578.61,project-7-subproject-16-rca-69program-17
project-2,subproject-35,rca-29,program-25,22232,13116.93,15088.82,11864.9,13756.93,13358.92,project-2-subproject-35-rca-29program-25
project-3,subproject-36,rca-74,program-29,6270,5564.28,5079.18,5120.09,3138.26,2868.51,project-3-subproject-36-rca-74program-29
project-17,subproject-22,rca-40,program-115,6518,8070.2,7337.46,9368.88,7003.34,5679.67,project-17-subproject-22-rca-40program-115
project-5,subproject-6,rca-52,program-20,2534,2640.64,3068.66,2103.04,1564.13,1394.52,project-5-subproject-6-rca-52program-20
project-10,subproject-4,rca-25,program-26,28563,28205.06,33203.71,31235.0,21738.36,21137.5,project-10-subproject-4-rca-25program-26
project-4,subproject-40,rca-55,program-31,17742,16537.02,14000.11,10445.96,9861.7,9683.18,project-4-subproject-40-rca-55program-31
project-8,subproject-15,rca-22,program-21,29466,37692.5,32614.8,41800.57,41175.12,35361.74,project-8-subproject-15-rca-22program-21
project-2,subproject-22,rca-51,program-34,6798,5978.67,6858.63,8801.66,9861.91,8415.45,project-2-subproject-22-rca-51program-34
project-13,subproject-19,rca-41,program-102,16090,8866.73,8741.69,11069.31,8339.76,7639.99,project-13-subproject-19-rca-41program-102
project-16,subproject-29,rca-50,program-21,9573,12310.01,14329.04,10964.35,10723.41,10402.22,project-16-subproject-29-rca-50program-21
project-7,subproject-32,rca-15,program-61,20372,20278.43,17199.36,17309.82,11648.55,10102.55,project-7-subproject-32-rca-15program-61
project-19,subproject-31,rca-48,program-15,2008,1278.92,1374.04,1109.39,901.81,895.53,project-19-subproject-31-rca-48program-15
project-12,subproject-20,rca-16,program-42,8863,9304.05,9543.12,11047.71,11132.79,10726.9,project-12-subproject-20-rca-16program-42
project-1,subproject-31,rca-38,program-114,28087,29481.44,32118.36,32447.49,26927.26,24946.71,project-1-subproject-31-rca-38program-114
project-20,subproject-10,rca-38,program-21,25239,29438.01,31714.71,29090.38,20390.46,17993.24,project-20-subproject-10-rca-38program-21
project-10,subproject-19,rca-32,program-27,10147,12639.48,14034.95,11169.69,7773.08,6604.03,project-10-subproject-19-rca-32program-27
project-1,subproject-11,rca-20,program-102,18067,16233.77,14965.94,18248.3,13200.03,12277.28,project-1-subproject-11-rca-20program-102
project-19,subproject-18,rca-32,program-18,13879,14541.12,13880.43,9659.43,8764.92,8461.23,project-19-subproject-18-rca-32program-18
project-12,subproject-32,rca-36,program-64,7169,5856.16,4967.5,5409.63,5564.67,5141.43,project-12-subproject-32-rca-36program-64
project-13,subproject-6,rca-61,program-110,5380,6977.27,6178.8,3716.26,2630.15,2152.94,project-13-subproject-6-rca-61program-110
project-2,subproject-10,rca-37,program-59,18229,17694.35,21021.92,23960.65,25403.53,22387.4,project-2-subproject-10-rca-37program-59
project-11,subproject-22,rca-8,program-120,23376,25605.11,23347.87,16057.89,17031.25,14521.52,project-11-subproject-22-rca-8program-120
project-12,subproject-36,rca-47,program-73,7016,6730.41,6424.77,6303.15,5128.0,4864.31,project-12-subproject-36-rca-47program-73
project-13,subproject-5,rca-57,program-44,15191,11965.47,10496.23,6671.09,5787.54,5131.9,project-13-subproject-5-rca-57program-44
project-14,subproject-13,rca-5,program-17,1841,1101.96,1313.12,1449.95,1060.15,929.2,project-14-subproject-13-rca-5program-17
project-9,subproject-3,rca-25,program-74,10686,7590.23,6399.39,7809.62,9269.57,9197.49,project-9-subproject-3-rca-25program-74
project-15,subproject-40,rca-72,program-69,2163,2041.32,2102.81,2198.8,2220.57,2143.4,project-15-subproject-40-rca-72program-69
project-9,subproject-23,rca-9,program-101,25825,14026.98,15673.8,14600.88,13100.09,11935.78,project-9-subproject-23-rca-9program-101
project-3,subproject-1,rca-67,program-11,26745,32302.31,38629.84,49113.29,39041.84,35350.63,project-3-subproject-1-rca-67program-11
project-3,subproject-9,rca-79,program-93,2673,2826.85,2670.97,1726.94,2003.31,1992.95,project-3-subproject-9-rca-79program-93
project-1,subproject-34,rca-59,program-77,9874,11196.92,12736.47,14071.96,16053.14,13949.85,project-1-subproject-34-rca-59program-77
project-8,subproject-15,rca-47,program-83,28132,18590.12,17245.95,14360.52,16862.54,14109.99,project-8-subproject-15-rca-47program-83
project-16,subproject-3,rca-70,program-118,21341,26337.47,30686.82,32818.5,24513.45,22150.76,project-16-subproject-3-rca-70program-118
project-14,subproject-11,rca-80,program-41,14716,16100.41,13837.76,14294.26,12708.29,11839.74,project-14-subproject-11-rca-80program-41
project-8,subproject-37,rca-57,program-17,4836,4780.82,4810.31,5890.2,3770.32,3522.77,project-8-subproject-37-rca-57program-17
project-2,subproject-27,rca-14,program-115,15509,15713.13,14310.8,11811.45,10175.69,9179.88,project-2-subproject-27-rca-14program-115
project-10,subproject-32,rca-23,program-5,25747,31256.44,34242.99,40824.7,27479.47,25002.62,project-10-subproject-32-rca-23program-5
project-16,subproject-19,rca-27,program-48,3802,4895.33,5575.94,4290.52,2715.81,2704.31,project-16-subproject-19-rca-27program-48
project-2,subproject-15,rca-64,program-106,17367,9046.72,7453.92,6712.16,6193.72,5536.85,project-2-subproject-15-rca-64program-106
project-13,subproject-35,rca-62,program-89,13937,16100.29,14991.94,11081.19,12547.37,12263.83,project-13-subproject-35-rca-62program-89
project-6,subproject-31,rca-19,program-10,7857,7284.39,7645.7,6597.73,5272.54,4299.45,project-6-subproject-31-rca-19program-10
project-7,subproject-36,rca-38,program-62,7485,5531.12,4852.04,5231.52,3987.89,3736.09,project-7-subproject-36-rca-38program-62
project-1,subproject-11,rca-4,program-91,13567,7968.89,9297.69,8183.62,5027.26,4390.7,project-1-subproject-11-rca-4program-91
project-12,subproject-38,rca-28,program-120,18296,23510.13,27176.5,23484.32,24337.77,20590.25,project-12-subproject-38-rca-28program-120
project-2,subproject-33,rca-72,program-106,4652,5624.57,4747.27,4117.05,3318.4,2895.66,project-2-subproject-33-rca-72program-106
project-8,subproject-40,rca-8,program-35,1279,1425.22,1195.18,1549.23,1205.52,1027.04,project-8-subproject-40-rca-8program-35
project-13,subproject-24,rca-27,program-41,28798,22076.29,23824.02,17631.93,17768.81,16091.67,project-13-subproject-24-rca-27program-41
project-18,subproject-26,rca-39,program-30,2858,2706.35,2848.06,2763.92,2552.38,2254.26,project-18-subproject-26-rca-39program-30
project-18,subproject-33,rca-23,program-65,29252,32496.77,26015.86,20986.16,20688.61,18574.54,project-18-subproject-33-rca-23program-65
project-11,subproject-3,rca-46,program-110,18803,10580.42,11601.3,10967.33,9682.32,8881.45,project-11-subproject-3-rca-46program-110
project-16,subproject-9,rca-34,program-41,23698,25651.63,24834.64,31226.63,22665.82,20382.03,project-16-subproject-9-rca-34program-41
project-19,subproject-23,rca-1,program-76,15341,11125.5,11003.45,14024.45,11719.88,11275.59,project-19-subproject-23-rca-1program-76
project-1,subproject-6,rca-57,program-33,4529,3269.15,2718.14,2378.59,2177.44,1970.51,project-1-subproject-6-rca-57program-33
project-1,subproject-9,rca-3,program-52,26733,30866.84,25480.72,30609.74,28659.46,27653.81,project-1-subproject-9-rca-3program-52
project-10,subproject-5,rca-15,program-28,13706,13632.68,13095.24,10487.79,11825.01,9801.13,project-10-subproject-5-rca-15program-28
project-4,subproject-12,rca-1,program-22,24446,31398.54,32140.7,24553.61,20459.46,18811.82,project-4-subproject-12-rca-1program-22
project-9,subproject-13,rca-14,program-83,28546,29163.12,24862.67,23533.44,26285.9,24766.64,project-9-subproject-13-rca-14program-83
project-5,subproject-30,rca-29,program-21,8398,5951.76,6040.89,7353.67,8224.62,6599.07,project-5-subproject-30-rca-29program-21
project-5,subproject-6,rca-37,program-40,25817,32444.36,33054.17,42405.19,48199.49,46718.33,project-5-subproject-6-rca-37program-40
project-18,subproject-8,rca-8,program-3,28755,35983.35,36911.05,42134.65,36161.2,30281.98,project-18-subproject-8-rca-8program-3
project-7,subproject-23,rca-36,program-43,14683,8088.33,7680.83,5136.29,5428.48,5220.5,project-7-subproject-23-rca-36program-43
project-15,subproject-26,rca-35,program-40,3743,4697.66,4420.71,3669.1,2738.39,2670.5,project-15-subproject-26-rca-35program-40
project-8,subproject-30,rca-15,program-87,29452,22048.81,22671.54,23107.04,21446.09,20793.07,project-8-subproject-30-rca-15program-87
project-7,subproject-37,rca-27,program-90,13830,14303.93,16943.58,17094.53,17999.81,17230.58,project-7-subproject-37-rca-27program-90
project-12,subproject-22,rca-43,program-12,24178,29185.83,28145.09,33778.94,25561.16,23730.42,project-12-subproject-22-rca-43program-12
project-3,subproject-15,rca-44,program-52,28899,19396.16,18748.44,17683.91,13965.27,12912.27,project-3-subproject-15-rca-44program-52
project-15,subproject-14,rca-80,program-102,29104,31556.46,32181.31,23577.98,20650.32,19520.09,project-15-subproject-14-rca-80program-102
project-4,subproject-11,rca-15,program-81,7533,4120.21,4626.8,2827.98,2489.52,2049.76,project-4-subproject-11-rca-15program-81
project-13,subproject-39,rca-37,program-77,28503,36756.66,41616.04,34590.79,34402.18,30646.12,project-13-subproject-39-rca-37program-77
project-3,subproject-9,rca-54,program-63,25578,30889.58,32287.01,21443.02,14847.81,13881.3,project-3-subproject-9-rca-54program-63
project-7,subproject-3,rca-50,program-34,6781,7482.34,6427.66,7567.55,7821.71,7212.39,project-7-subproject-3-rca-50program-34
project-16,subproject-2,rca-77,program-25,2957,2931.5,2382.56,2890.58,3334.8,3285.04,project-16-subproject-2-rca-77program-25
project-15,subproject-8,rca-79,program-48,27598,31493.75,30931.91,36557.19,25865.78,22437.53,project-15-subproject-8-rca-79program-48
project-19,subproject-6,rca-67,program-99,4034,2511.29,2579.37,3283.74,2247.21,2068.81,project-19-subproject-6-rca-67program-99
project-13,subproject-34,rca-36,program-37,16371,13993.07,12239.8,10689.57,7692.09,6352.7,project-13-subproject-34-rca-36program-37
project-10,subproject-19,rca-65,program-49,11077,9620.49,8500.95,8697.44,6997.19,5792.37,project-10-subproject-19-rca-65program-49
project-19,subproject-7,rca-26,program-88,1779,1344.05,1220.7,1057.33,1139.26,1103.02,project-19-subproject-7-rca-26program-88
project-5,subproject-12,rca-78,program-47,23639,29698.49,28407.36,17721.66,18937.16,15314.75,project-5-subproject-12-rca-78program-47
project-3,subproject-4,rca-12,program-89,12137,7106.19,6411.63,4570.13,4972.5,4448.42,project-3-subproject-4-rca-12program-89
project-6,subproject-25,rca-15,program-55,25225,15236.65,13286.8,17048.6,10378.52,8720.86,project-6-subproject-25-rca-15program-55
project-9,subproject-28,rca-42,program-32,27899,16392.27,19150.4,21096.72,19302.11,17980.85,project-9-subproject-28-rca-42program-32
project-5,subproject-10,rca-57,program-18,29085,16784.06,16888.45,13741.45,9136.06,8837.37,project-5-subproject-10-rca-57program-18
project-5,subproject-36,rca-53,program-103,15533,16678.41,19275.83,24885.63,22352.63,18643.4,project-5-subproject-36-rca-53program-103
project-20,subproject-18,rca-64,program-88,12847,13634.11,14441.27,15997.64,13325.44,12246.85,project-20-subproject-18-rca-64program-88
project-2,subproject-30,rca-6,program-20,1478,924.93,793.45,503.53,410.06,390.57,project-2-subproject-30-rca-6program-20
project-5,subproject-23,rca-46,program-99,8744,10755.43,10786.6,6637.45,6311.67,5161.0,project-5-subproject-23-rca-46program-99
project-16,subproject-31,rca-27,program-8,3822,4097.72,4728.22,5272.34,4537.85,4122.44,project-16-subproject-31-rca-27program-8
project-7,subproject-31,rca-13,program-110,19450,12973.49,13102.19,15304.17,15640.7,14064.73,project-7-subproject-31-rca-13program-110
project-5,subproject-37,rca-21,program-31,22872,12550.99,11154.74,11436.59,11380.05,9537.42,project-5-subproject-37-rca-21program-31
project-18,subproject-24,rca-69,program-17,28207,26066.25,26089.23,21714.87,18499.21,14847.72,project-18-subproject-24-rca-69program-17
project-1,subproject-32,rca-32,program-87,27401,20447.15,19538.8,22798.54,14917.36,13616.36,project-1-subproject-32-rca-32program-87
project-14,subproject-16,rca-6,program-22,28174,22818.1,22521.23,15955.96,16357.02,14329.49,project-14-subproject-16-rca-6program-22
project-10,subproject-26,rca-39,program-79,16781,10796.43,10133.46,7503.83,6085.31,6035.05,project-10-subproject-26-rca-39program-79
project-1,subproject-30,rca-76,program-51,7907,4133.18,3626.38,2803.47,2510.73,2313.17,project-1-subproject-30-rca-76program-51
project-2,subproject-33,rca-73,program-14,20957,25702.09,30292.2,29052.36,30285.1,26149.1,project-2-subproject-33-rca-73program-14
project-18,subproject-5,rca-54,program-120,3130,3818.02,4235.44,5009.35,5286.18,5069.88,project-18-subproject-5-rca-54program-120
project-15,subproject-27,rca-32,program-8,8771,6523.74,7352.11,7695.1,7772.86,6339.29,project-15-subproject-27-rca-32program-8
project-3,subproject-32,rca-8,program-105,19024,19667.85,19129.16,18193.66,15269.45,12860.27,project-3-subproject-32-rca-8program-105
project-10,subproject-26,rca-45,program-90,11069,10111.51,9728.58,6193.94,5756.01,4807.71,project-10-subproject-26-rca-45program-90
project-6,subproject-19,rca-30,program-59,23848,14006.57,15458.64,11666.74,8725.37,7873.2,project-6-subproject-19-rca-30program-59
project-1,subproject-24,rca-3,program-75,24403,23057.97,20885.94,20195.28,15671.55,12878.48,project-1-subproject-24-rca-3program-75
project-19,subproject-6,rca-25,program-34,28640,17119.0,17021.54,16464.29,18873.86,16114.12,project-19-subproject-6-rca-25program-34
project-12,subproject-2,rca-52,program-22,5140,4876.29,4469.21,4919.59,4404.96,3817.31,project-12-subproject-2-rca-52program-22
project-14,subproject-24,rca-21,program-95,15477,10056.12,10582.15,11030.36,9369.04,8146.3,project-14-subproject-24-rca-21program-95
project-4,subproject-4,rca-20,program-54,6727,3936.25,4243.66,3462.48,2571.98,2360.06,project-4-subproject-4-rca-20program-54
project-20,subproject-18,rca-25,program-44,13472,8350.71,9435.4,7316.97,8698.84,8418.37,project-20-subproject-18-rca-25program-44
project-2,subproject-36,rca-58,program-85,10955,11361.86,9371.2,11570.27,12671.23,10358.82,project-2-subproject-36-rca-58program-85
project-12,subproject-10,rca-4,program-119,22856,29547.68,30813.76,28249.53,25960.63,21132.05,project-12-subproject-10-rca-4program-119
project-16,subproject-23,rca-27,program-89,29157,14632.26,12598.55,9244.03,9865.78,8192.18,project-16-subproject-23-rca-27program-89
project-6,subproject-8,rca-76,program-46,23417,16959.97,15598.51,11667.96,7087.9,6326.03,project-6-subproject-8-rca-76program-46
project-17,subproject-8,rca-54,program-8,29418,29456.07,29747.84,26804.02,26469.43,23004.86,project-17-subproject-8-rca-54program-8
project-9,subproject-27,rca-55,program-33,5293,6300.68,5421.4,6981.65,7191.09,6075.1,project-9-subproject-27-rca-55program-33
project-18,subproject-37,rca-26,program-56,7243,6695.08,7584.23,8866.06,10475.01,10041.07,project-18-subproject-37-rca-26program-56
project-15,subproject-3,rca-3,program-8,4921,5446.88,6042.07,6092.27,4084.67,3532.8,project-15-subproject-3-rca-3program-8
project-13,subproject-20,rca-46,program-25,14857,12382.69,10958.4,10417.57,9759.46,8917.82,project-13-subproject-20-rca-46program-25
project-11,subproject-3,rca-7,program-64,21196,10617.08,8626.62,9370.59,8569.63,7415.36,project-11-subproject-3-rca-7program-64
project-1,subproject-38,rca-19,program-102,23318,25639.36,24800.26,22506.85,18531.97,17648.91,project-1-subproject-38-rca-19program-102
project-2,subproject-29,rca-57,program-10,12425,13407.1,13238.47,17033.25,10734.05,9899.07,project-2-subproject-29-rca-57program-10
